imdb_id,original_title,primary_genre,budget,revenue,release_date,averageRating,numVotes
tt0110399,A Low Down Dirty Shame,Action,10000000.0,29392418.0,1994-11-23,5.9,8392
tt0059170,"Faster, Pussycat! Kill! Kill!",Action,45000.0,,1965-08-06,6.6,17357
tt0110186,Jason's Lyric,Crime,7000000.0,20851521.0,1994-09-28,6.6,5102
tt0111301,Street Fighter,Action,35000000.0,99423521.0,1994-12-22,4.1,80016
tt0110027,Highlander III: The Sorcerer,Action,26000000.0,36800000.0,1994-11-29,4.5,23275
tt0113409,In the Mouth of Madness,Horror,8000000.0,8946600.0,1994-12-12,7.1,88964
tt0106226,The Age of Innocence,Drama,34000000.0,32255440.0,1993-09-17,7.2,74589
tt0109067,The Air Up There,Comedy,17080000.0,21011500.0,1994-01-07,5.6,9894
tt0109219,Barcelona,Comedy,3200000.0,,1994-07-29,7.0,7061
tt0106379,Being Human,Drama,40000000.0,,1994-05-06,5.3,4447
tt0109254,Beverly Hills Cop III,Action,50000000.0,119208989.0,1994-05-24,5.5,100377
tt0106452,Body Snatchers,Horror,13000000.0,428868.0,1993-06-09,6.0,23023
tt0106489,A Bronx Tale,Drama,22000000.0,17287898.0,1993-09-14,7.8,184599
tt0106505,Calendar Girl,Drama,13000000.0,2570145.0,1993-09-03,5.2,2649
tt0106519,Carlito's Way,Action,30000000.0,36516012.0,1993-11-10,7.9,247506
tt0106582,Cliffhanger,Action,70000000.0,255000211.0,1993-05-28,6.5,148138
tt0109456,Color of Night,Drama,40000000.0,19726050.0,1994-08-19,5.2,27499
tt0106677,Dazed and Confused,Comedy,6900000.0,7993039.0,1993-09-24,7.6,215627
tt0106697,Demolition Man,Crime,57000000.0,159055768.0,1993-10-08,6.7,208571
tt0106834,Even Cowgirls Get the Blues,Western,8000000.0,,1994-05-13,4.3,8242
tt0106941,For Love or Money,Comedy,30000000.0,11146270.0,1993-10-01,6.2,16641
tt0106918,The Firm,Drama,42000000.0,270248367.0,1993-06-30,6.9,161029
tt0106965,Free Willy,Family,20000000.0,153698625.0,1993-07-16,6.1,89084
tt0106977,The Fugitive,Adventure,44000000.0,368875760.0,1993-08-06,7.8,345737
tt0107004,Geronimo: An American Legend,History,35000000.0,18635620.0,1993-12-10,6.6,15326
tt0109891,Getting Even with Dad,Family,30000000.0,,1994-06-17,4.9,9350
tt0107076,Hard Target,Action,18000000.0,74189677.0,1993-08-20,6.2,60976
tt0107096,Heaven & Earth,History,33000000.0,,1993-12-24,6.8,16098
tt0107144,Hot Shots! Part Deux,Action,25000000.0,133752825.0,1993-05-21,6.6,103699
tt0107151,The House of the Spirits,Romance,25000000.0,,1993-10-19,6.9,26550
tt0110074,The Hudsucker Proxy,Comedy,30000000.0,,1994-03-11,7.2,90244
tt0110097,I'll Do Anything,Comedy,40000000.0,,1994-02-04,5.5,3045
tt0107206,In the Line of Fire,Action,40000000.0,176997168.0,1993-07-08,7.2,122837
tt0107207,In the Name of the Father,Drama,13000000.0,65796862.0,1993-12-12,8.1,202359
tt0110197,Jimmy Hollywood,Comedy,30000000.0,,1994-03-30,5.3,3838
tt0107290,Jurassic Park,Adventure,63000000.0,920100000.0,1993-06-11,8.2,1174069
tt0107302,Kalifornia,Thriller,9000000.0,2395231.0,1993-09-01,6.7,62395
tt0110265,Killing Zoe,Action,1500000.0,418961.0,1993-10-01,6.4,22480
tt0107362,Last Action Hero,Adventure,85000000.0,137298489.0,1993-06-18,6.5,174356
tt0107478,Made in America,Comedy,22000000.0,,1993-05-27,5.1,18776
tt0107507,Manhattan Murder Mystery,Comedy,13500000.0,11285588.0,1993-08-18,7.3,49739
tt0107554,Menace II Society,Drama,3500000.0,27900000.0,1993-05-26,7.5,69940
tt0116253,Executive Decision,Action,55000000.0,121969216.0,1996-03-15,6.5,65273
tt0107616,Much Ado About Nothing,Drama,8000000.0,,1993-05-07,7.3,55550
tt0107614,Mrs. Doubtfire,Comedy,25000000.0,441286195.0,1993-11-24,7.1,315244
tt0110657,The Next Karate Kid,Adventure,12000000.0,15826984.0,1994-07-18,4.6,38048
tt0110678,No Escape,Action,20000000.0,15340000.0,1994-04-29,6.1,24381
tt0110687,North,Comedy,40000000.0,,1994-07-22,4.6,15696
tt0107756,Orlando,Romance,4000000.0,,1992-09-01,7.1,20950
tt0107808,A Perfect World,Crime,30000000.0,135130999.0,1993-11-24,7.5,93384
tt0107818,Philadelphia,Drama,26000000.0,206678440.0,1993-12-22,7.7,273453
tt0107822,The Piano,Drama,7000000.0,116700000.0,1993-05-19,7.5,101092
tt0107840,Poetic Justice,Drama,14000000.0,27515786.0,1993-07-23,6.2,18273
tt0110955,The Ref,Comedy,11000000.0,11439193.0,1994-03-09,6.9,28667
tt0107943,The Remains of the Day,Drama,11500000.0,23237911.0,1993-11-05,7.8,92661
tt0110971,Renaissance Man,Comedy,40000000.0,24332324.0,1994-06-03,6.2,20203
tt0107978,RoboCop 3,Action,22000000.0,10696210.0,1993-04-17,4.2,58225
tt0107977,Robin Hood: Men in Tights,Comedy,20000000.0,35739755.0,1993-07-28,6.7,145602
tt0107983,Romeo Is Bleeding,Action,11500000.0,3275585.0,1993-09-13,6.5,16651
tt0108000,Ruby in Paradise,Drama,800000.0,1001437.0,1993-10-08,6.9,3441
tt0108002,Rudy,Drama,12000000.0,22750363.0,1993-09-17,7.5,74390
tt0108052,Schindler's List,Drama,22000000.0,321365567.0,1993-11-29,9.0,1582061
tt0111127,Serial Mom,Comedy,13000000.0,7820688.0,1994-04-13,6.8,37754
tt0111143,The Shadow,Adventure,25000000.0,48063435.0,1994-07-01,6.1,29040
tt0108101,Shadowlands,Drama,22000000.0,,1993-12-25,7.3,21563
tt0108160,Sleepless in Seattle,Comedy,21000000.0,227799884.0,1993-06-24,6.8,206843
tt0108162,Sliver,Drama,40000000.0,116300000.0,1993-05-21,5.1,37335
tt0083658,Blade Runner,Science Fiction,28000000.0,33139618.0,1982-06-25,8.1,880315
tt0108174,So I Married an Axe Murderer,Comedy,20000000.0,11585483.0,1993-07-30,6.5,45810
tt0108238,Striking Distance,Crime,30.0,,1993-09-17,5.9,48996
tt0108255,Super Mario Bros.,Adventure,48000000.0,20915465.0,1993-05-28,4.2,68000
tt0111323,Surviving the Game,Action,7400000.0,7690013.0,1994-04-15,6.2,14368
tt0111400,Terminal Velocity,Action,50000000.0,16478900.0,1994-09-23,5.5,15551
tt0107688,The Nightmare Before Christmas,Fantasy,18000000.0,75634409.0,1993-10-09,7.9,410803
tt0108333,The Three Musketeers,Action,30000000.0,53898845.0,1993-11-11,6.4,63924
tt0108358,Tombstone,Action,25000000.0,56505065.0,1993-12-25,7.8,191243
tt0108399,True Romance,Action,12500000.0,12281551.0,1993-09-09,7.9,260478
tt0110763,The Pagemaster,Fantasy,27000000.0,13670688.0,1994-11-23,6.2,27753
tt0111252,Spanking the Monkey,Comedy,200000.0,,1994-01-15,6.3,7092
tt0099785,Home Alone,Comedy,18000000.0,476684675.0,1990-11-09,7.8,742536
tt0099653,Ghost,Fantasy,22000000.0,505000000.0,1990-07-12,7.1,256119
tt0103639,Aladdin,Animation,28000000.0,504050219.0,1992-11-25,8.0,499616
tt0103064,Terminator 2: Judgment Day,Action,100000000.0,520000000.0,1991-07-01,8.6,1281060
tt0099348,Dances with Wolves,Adventure,22000000.0,424208848.0,1990-11-09,8.0,309716
tt0096895,Batman,Fantasy,35000000.0,411348924.0,1989-06-23,7.5,431529
tt0102926,The Silence of the Lambs,Crime,19000000.0,272742922.0,1991-02-01,8.6,1718071
tt0029583,Snow White and the Seven Dwarfs,Fantasy,1488423.0,184925486.0,1937-12-20,7.6,238496
tt0101414,Beauty and the Beast,Romance,25000000.0,377350553.0,1991-11-13,8.0,504668
tt0032910,Pinocchio,Animation,2600000.0,84300000.0,1940-02-23,7.5,172221
tt0100405,Pretty Woman,Romance,14000000.0,463000000.0,1990-03-23,7.1,403830
tt0065214,The Wild Bunch,Adventure,6244087.0,638641.0,1969-06-17,7.9,95247
tt0116282,Fargo,Crime,7000000.0,60611975.0,1996-04-05,8.1,786233
tt0082509,Heavy Metal,Animation,9300000.0,,1981-08-07,6.6,41515
tt0116514,Hellraiser: Bloodline,Horror,4000000.0,16675000.0,1996-03-08,5.1,26805
tt0117283,The Pallbearer,Comedy,8000000.0,,1996-05-03,5.0,11874
tt0110374,Loaded,Drama,500000.0,,1996-04-12,4.5,601
tt0065421,The Aristocats,Animation,4000000.0,55675257.0,1970-12-23,7.1,124822
tt0117381,Primal Fear,Crime,30000000.0,102616183.0,1996-04-03,7.7,282546
tt0114658,Theodore Rex,Fantasy,33500000.0,,1995-12-14,2.4,5120
tt0116414,Girl 6,Comedy,12000000.0,4939939.0,1996-03-22,5.4,6973
tt0115956,Courage Under Fire,Drama,46000000.0,100860818.0,1996-07-04,6.6,63521
tt0117060,Mission: Impossible,Adventure,80000000.0,457696359.0,1996-05-22,7.2,516664
tt0116136,DragonHeart,Fantasy,57000000.0,115267375.0,1996-05-31,6.4,105721
tt0116683,James and the Giant Peach,Adventure,38000000.0,28921264.0,1996-04-12,6.7,78514
tt0116269,Faithful,Comedy,13000000.0,9789900.0,1996-04-03,5.7,2430
tt0114787,Podzemlje,War,14000000.0,,1995-04-11,8.0,64125
tt0117705,Space Jam,Animation,80000000.0,250200000.0,1996-11-15,6.5,229555
tt0062711,Barbarella,Science Fiction,9000000.0,2500000.0,1968-10-10,5.9,40645
tt0058898,"Alphaville, une étrange aventure de Lemmy Caution",Drama,220000.0,,1965-05-05,7.0,30056
tt0117104,Mrs. Winterbourne,Comedy,25000000.0,10070000.0,1996-04-19,6.3,9325
tt0062952,Faces,Drama,275000.0,,1968-11-24,7.4,12728
tt0117420,The Quest,Action,30000000.0,57400547.0,1996-04-19,5.6,30026
tt0095776,Oliver & Company,Animation,31000000.0,74151346.0,1988-11-18,6.6,56963
tt0116322,Flipper,Adventure,25530000.0,20080020.0,1996-05-17,5.4,12620
tt0112817,Dead Man,Drama,9000000.0,,1995-12-23,7.5,108924
tt0113362,Le Hussard sur le toit,War,35000000.0,15000000.0,1995-09-20,7.0,6655
tt0117108,Multiplicity,Comedy,45000000.0,,1996-07-19,6.2,37124
tt0115963,The Craft,Drama,15000000.0,24769466.0,1996-05-03,6.5,119967
tt0116508,Heaven's Prisoners,Drama,25000000.0,,1996-05-17,5.8,6182
tt0117260,Original Gangstas,Action,4800000.0,3014000.0,1996-05-10,5.7,2240
tt0117500,The Rock,Action,75000000.0,335062621.0,1996-06-06,7.4,379595
tt0109592,Dellamorte Dellamore,Fantasy,4000000.0,,1994-03-25,7.0,26130
tt0117998,Twister,Action,92000000.0,494471524.0,1996-05-10,6.6,251562
tt0117723,Spy Hard,Action,18000000.0,,1996-05-24,5.3,42970
tt0115571,The Arrival,Action,25000000.0,14048372.0,1996-05-31,6.2,41530
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama,1800000.0,9440272.0,1964-01-29,8.3,550722
tt0117331,The Phantom,Adventure,45000000.0,17300889.0,1996-06-06,5.1,37551
tt0117765,Striptease,Drama,50000000.0,113309743.0,1996-06-28,4.6,51445
tt0116669,Jack,Comedy,45000000.0,58620973.0,1996-08-09,5.8,67116
tt0114122,Pharaoh's  Army,Western,50.0,,1995-01-01,6.5,791
tt0117951,Trainspotting,Drama,4000000.0,16491080.0,1996-02-23,8.1,767969
tt0118523,Til There Was You,Comedy,1000000.0,,1997-05-30,4.8,3109
tt0116629,Independence Day,Action,75000000.0,816969268.0,1996-06-25,7.0,645735
tt0116277,The Fan,Drama,55000000.0,18626419.0,1996-08-15,5.9,53915
